epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1057.14,1.46521,0.90899,1.54982,0.64904,0.52791,0.55437,0.26439,1.8906,1.10352,2.02975,0.000396265,0.000396265,0.000396265
43,1080.6,1.45834,0.90082,1.53438,0.55382,0.53658,0.54894,0.26546,1.83813,1.0662,1.96554,0.000389661,0.000389661,0.000389661
44,1104.66,1.43826,0.89068,1.53092,0.55272,0.54091,0.54628,0.26562,1.85642,1.11158,1.96833,0.000383058,0.000383058,0.000383058
45,1129.18,1.43975,0.87721,1.5425,0.64085,0.55788,0.55432,0.26992,1.84652,1.05817,1.97308,0.000376455,0.000376455,0.000376455
46,1153.72,1.4068,0.85847,1.51598,0.64883,0.52943,0.55418,0.26763,1.86759,1.10728,2.00511,0.000369851,0.000369851,0.000369851
47,1178.14,1.41929,0.87502,1.51861,0.53618,0.55156,0.55504,0.26962,1.87177,1.09495,2.02969,0.000363248,0.000363248,0.000363248
48,1203.34,1.39065,0.8605,1.50576,0.61196,0.53272,0.56979,0.28084,1.83811,1.04391,2.01557,0.000356645,0.000356645,0.000356645
49,1229.95,1.39805,0.84974,1.50111,0.53569,0.57771,0.56158,0.26834,1.91142,1.08465,2.08116,0.000350042,0.000350042,0.000350042
50,1254.25,1.38682,0.83906,1.50821,0.61112,0.54668,0.56494,0.27429,1.83441,1.07017,1.99058,0.000343438,0.000343438,0.000343438
51,1277.96,1.36,0.82181,1.4775,0.54842,0.57263,0.55896,0.27283,1.87521,1.05789,2.06614,0.000336835,0.000336835,0.000336835
52,1301.83,1.35375,0.81819,1.48066,0.55291,0.59521,0.57753,0.27749,1.86359,1.05032,2.04947,0.000330232,0.000330232,0.000330232
53,1325.82,1.34777,0.81043,1.46653,0.55767,0.5296,0.54284,0.26741,1.84554,1.06102,2.0106,0.000323628,0.000323628,0.000323628
54,1349.05,1.3447,0.80996,1.46699,0.63996,0.58723,0.59601,0.27625,1.84017,1.07316,2.01483,0.000317025,0.000317025,0.000317025
55,1372.68,1.33824,0.78885,1.45173,0.53845,0.60129,0.56731,0.27615,1.85392,1.07473,2.03772,0.000310422,0.000310422,0.000310422
56,1396.85,1.33684,0.79681,1.46439,0.58785,0.55515,0.56464,0.2709,1.88385,1.01801,2.08068,0.000303818,0.000303818,0.000303818
57,1420.37,1.31081,0.76959,1.44902,0.5655,0.58694,0.57173,0.27601,1.83306,1.03125,1.97305,0.000297215,0.000297215,0.000297215
58,1443.7,1.30697,0.77703,1.43456,0.55901,0.57303,0.55124,0.2729,1.90249,1.09887,2.07869,0.000290612,0.000290612,0.000290612
59,1465.91,1.28176,0.7562,1.43335,0.53297,0.59096,0.54967,0.26921,1.84505,1.05093,2.01202,0.000284009,0.000284009,0.000284009
